CountyFIPS,PlaceFIPS,Tp10,Gqp10,Hp10,Pph10,Thu10,Ohu10,Vhu10,Vr10,Tp11,Gqp11,Hp11,Pph11,Thu11,Ohu11,Vhu11,Vr11,Tp12,Gqp12,Hp12,Pph12,Thu12,Ohu12,Vhu12,Vr12,Tp13,Gqp13,Hp13,Pph13,Thu13,Ohu13,Vhu13,Vr13,Tp14,Gqp14,Hp14,Pph14,Thu14,Ohu14,Vhu14,Vr14,Tp15,Gqp15,Hp15,Pph15,Thu15,Ohu15,Vhu15,Vr15,Tp16,Gqp16,Hp16,Pph16,Thu16,Ohu16,Vhu16,Vr16,Tp17,Gqp17,Hp17,Pph17,Thu17,Ohu17,Vhu17,Vr17,Tp18,Gqp18,Hp18,Pph18,Thu18,Ohu18,Vhu18,Vr18,Tp19,Gqp19,Hp19,Pph19,Thu19,Ohu19,Vhu19,Vr19
0,0,5050332,,4933405,2.4903647,2215332,1980997,234335,10.57787275,5119538,,5000847,2.490536072,2225481,2007940,217542,9.77505537,5191086,117928,5073158,2.490878846,2236805,2036694,200110,8.94624252,5268413,118977,5149436,2.491627216,2258924,2066696,192228,8.509715245,5350118,119050,5231068,2.492006485,2283663,2099139,184524,8.080176453,5448055,120981,5327074,2.496118582,2312310,2134143,178168,7.705195238,5538180,120311,5417869,2.497934014,2341918,2168940,172978,7.38616809,,5563,,,,,,,,5563,,,,,,,,5563,,,,,,
1,0,443711,4027,439684,2.845832713,163260,154501,8759,5.365061865,451749,4028,447721,2.846287349,163875,157300,6575,4.012204424,460064,4014,456050,2.846505299,164378,160214,4164,2.533185706,469477,4028,465449,2.847636295,165984,163451,2533,1.526050704,479777,4134,475643,2.848383407,167154,166987,167,0.099907869,489923,4129,485794,2.880366661,168657,168657,0,0,497673,4184,493489,2.900624221,170132,170132,0,0,,0,,,,,,,,0,,,,,,,,0,,,,,,
1,77290,119420,462,118958,2.860529986,43292,41586,1706,3.940681881,121800,462,121338,2.860530907,43537,42418,1119,2.570227622,124358,462,123896,2.860546731,43781,43312,469,1.071240949,127161,462,126699,2.860539149,44311,44292,19,0.042878743,129870,462,129408,2.900679174,44613,44613,0,0,132476,462,132014,2.935079372,44978,44978,0,0,134845,462,134383,2.954966247,45477,45477,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,8675,33164,1546,31618,2.946691519,11280,10730,550,4.875886525,33752,1543,32209,2.94684355,11329,10930,399,3.521934857,34391,1543,32848,2.94680183,11379,11147,232,2.038843484,35856,1543,34313,2.946839574,11764,11644,120,1.020061204,36598,1543,35055,2.958976956,11847,11847,0,0,37604,1543,36061,2.994104949,12044,12044,0,0,38400,1543,36857,3.014394373,12227,12227,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,83835,63968,321,63647,2.494688982,26734,25513,1221,4.567217775,64942,321,64621,2.49473034,26761,25903,858,3.206158215,66018,321,65697,2.494664895,26794,26335,459,1.71307009,66730,321,66409,2.494703231,26806,26620,186,0.693874506,67774,321,67453,2.51324565,26839,26839,0,0,68660,321,68339,2.543035761,26873,26873,0,0,69123,321,68802,2.56026495,26873,26873,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,16495,46194,351,45843,3.146828666,15485,14568,917,5.921859864,47545,351,47194,3.146686225,15717,14998,719,4.574664376,48607,351,48256,3.146788393,15827,15335,492,3.108611866,49642,351,49291,3.146769663,16000,15664,336,2.1,51518,351,51167,3.146801968,16372,16260,112,0.684094796,53215,351,52864,3.162289885,16717,16717,0,0,53577,351,53226,3.183754038,16718,16718,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,3455,2862,6,2856,2.566037736,1152,1113,39,3.385416667,2916,6,2910,2.566137566,1157,1134,23,1.987899741,2996,6,2990,2.566523605,1171,1165,6,0.512382579,3057,6,3051,2.581218274,1182,1182,0,0,3140,6,3134,2.618212197,1197,1197,0,0,3217,6,3211,2.649339934,1212,1212,0,0,3289,6,3283,2.666937449,1231,1231,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,26270,11515,0,11515,2.584736251,4877,4455,422,8.652860365,11680,0,11680,2.585214697,4877,4518,359,7.361082633,11859,0,11859,2.584786399,4877,4588,289,5.925774041,11983,0,11983,2.584771355,4877,4636,241,4.941562436,12156,0,12156,2.584733149,4877,4703,174,3.56776707,12300,0,12300,2.585119798,4877,4758,119,2.440024605,12384,0,12384,2.584846587,4877,4791,86,1.763379127,,0,,,,,,,,0,,,,,,,,0,,,,,,
1,45530,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,2,0,2,2,1,1,0,0,,0,,,,,,,,0,,,,,,,,0,,,,,,
1,4000,40047,904,39143,3.075104093,14142,12729,1413,9.991514637,40610,908,39702,3.075052281,14142,12911,1231,8.704567954,41230,894,40336,3.07509339,14150,13117,1033,7.300353357,42847,908,41939,3.075157648,14561,13638,923,6.338850354,43674,1014,42660,3.075037843,14600,13873,727,4.979452055,45088,1009,44079,3.07513604,14909,14334,575,3.856730834,46776,1064,45712,3.075142953,15357,14865,492,3.203750733,,,,,,,,,,,,,,,,,,,,,,,,
