Name,countyfips,placefips
Aguilar in Las Animas,71,760
Akron in Washington,121,925
Alamosa in Alamosa,3,1090
Alma in Park,93,1530
Antonito in Conejos,21,2355
Arriba in Lincoln,73,3235
Arvada (Part) in Adams,1,3455
Arvada (Part) in Jefferson,59,3455
Aspen in Pitkin,97,3620
Ault in Weld,123,3950
Aurora (Part) in Arapahoe,5,4000
Aurora (Part) in Adams,1,4000
Aurora (Part) in Douglas,35,4000
Avon in Eagle,37,4110
Basalt (Part) in Eagle,37,4935
Basalt (Part) in Pitkin,97,4935
Bayfield in La Plata,67,5265
Bennett (Part) in Arapahoe,5,6090
Bennett (Part) in Adams,1,6090
Berthoud (Part) in Weld,123,6255
Berthoud (Part) in Larimer,69,6255
Bethune in Kit Carson,63,6530
Black Hawk in Gilpin,47,7025
Blanca in Costilla,23,7190
Blue River in Summit,117,7410
Bonanza City in Saguache,109,7571
Boone in Pueblo,101,7795
Boulder in Boulder,13,7850
Bow Mar (Part) in Jefferson,59,8070
Bow Mar (Part) in Arapahoe,5,8070
Branson in Las Animas,71,8345
Breckenridge in Summit,117,8400
Brighton (Part) in Adams,1,8675
Brighton (Part) in Weld,123,8675
Brookside in Fremont,43,9115
Broomfield in Broomfield,14,9280
Brush in Morgan,87,9555
Buena Vista in Chaffee,15,10105
Burlington in Kit Carson,63,10600
Calhan in El Paso,41,11260
Campo in Baca,9,11645
Canon City in Fremont,43,11810
Carbondale in Garfield,45,12045
City of Castle Pines in Douglas,35,12387
Castle Rock in Douglas,35,12415
Cedaredge in Delta,29,12635
Centennial in Arapahoe,5,12815
Center (Part) in Saguache,109,12855
Center (Part) in Rio Grande,105,12855
Central City (Part) in Clear Creek,19,12910
Central City (Part) in Gilpin,47,12910
Cheraw in Otero,89,13460
Cherry Hills Village in Arapahoe,5,13845
Cheyenne Wells in Cheyenne,17,14175
City of Creede in Mineral,79,14765
Coal Creek in Fremont,43,15330
Cokedale in Las Animas,71,15550
Collbran in Mesa,77,15605
Colorado Springs in El Paso,41,16000
Columbine Valley in Arapahoe,5,16385
Commerce City in Adams,1,16495
Cortez in Montezuma,83,17375
Craig in Moffat,81,17760
Crawford in Delta,29,17925
Crested Butte in Gunnison,51,18310
Crestone in Saguache,109,18420
Cripple Creek in Teller,119,18530
Crook in Logan,75,18640
Crowley in Crowley,25,18750
Dacono in Weld,123,19080
De Beque in Mesa,77,19355
Deer Trail in Arapahoe,5,19630
Del Norte in Rio Grande,105,19795
Delta in Delta,29,19850
Denver in Denver,31,20000
Dillon in Summit,117,20440
Dinosaur in Moffat,81,20495
Dolores in Montezuma,83,20770
Dove Creek in Dolores,33,21265
Durango in La Plata,67,22035
Eads in Kiowa,61,22145
Eagle in Eagle,37,22200
Eaton in Weld,123,22860
Eckley in Yuma,125,23025
Edgewater in Jefferson,59,23135
Elizabeth in Elbert,39,23740
Empire in Clear Creek,19,24620
Englewood in Arapahoe,5,24785
Erie (Part) in Boulder,13,24950
Erie (Part) in Weld,123,24950
Estes Park in Larimer,69,25115
Evans in Weld,123,25280
Fairplay in Park,93,25610
Federal Heights in Adams,1,26270
Firestone in Weld,123,26600
Flager in Kit Carson,63,26765
Fleming in Logan,75,26875
Florence in Fremont,43,27040
Fort Collins in Larimer,69,27425
Fort Lupton in Weld,123,27700
Fort Morgan in Morgan,87,27810
Fountain in El Paso,41,27865
Fowler in Otero,89,27975
Foxfield in Arapahoe,5,28105
Fraser in Grand,49,28305
Frederick in Weld,123,28360
Frisco in Summit,117,28690
Fruita in Mesa,77,28745
Garden City in Weld,123,29185
Genoa in Lincoln,73,29680
Georgetown in Clear Creek,19,29735
Gilcrest in Weld,123,29955
Glendale in Arapahoe,5,30340
Glenwood Springs in Garfield,45,30780
Golden in Jefferson,59,30835
Granada in Prowers,99,31550
Granby in Grand,49,31605
Grand Junction in Mesa,77,31660
Grand Lake in Grand,49,31715
Greeley in Weld,123,32155
Green Mtn. Falls (Part) in Teller,119,32650
Green Mtn. Falls (Part) in El Paso,41,32650
Greenwood Village in Arapahoe,5,33035
