county,place,hu_2010,hu_2011,hu_2012,hu_2013,hu_2014,hu_2015,hu_2016,perm_2010,perm_2011,perm_2012,perm_2013,perm_2014,perm_2015,perm_2016
0,0,2214186,2223607,2234033,2257198,2285073,2310173,2338476,2338.75,13656.88,14278.28,26193.6,30827.47,28215.02,31871
0,760,290,289,288,287,286,285,284,0,0,0,0,0,0,0
0,925,842,841,840,839,837,837,836,0.75,1,1,0,0,2,1
0,1090,3699,3713,3745,3794,3820,3911,3922,4.5,24,41,49,24,44,18
0,1530,189,191,192,193,194,194,196,0,2,1,1,1,0,2
0,2355,406,406,405,404,403,402,401,0.44,1.76,0,0,0,0,0
0,3235,129,129,129,129,129,129,130,0.09,0,0.49,0.86,0.49,0.25,1.23
0,3455,44476,44606,45089,45495,45994,46528,47197,23.25,190,549,417,564,597,732
0,3620,5934,5934,5933,5934,5941,5987,6032,2,8,7,9,9,54,53
0,3950,618,616,614,614,617,621,639,0.5,0,0,2,5,5,20
0,4000,130847,131470,131748,132285,133743,134498,135327,106.5,808,441,539,1644,788,986
0,4110,3580,3583,3587,3591,3598,3602,3607,0.5,7,8,4,10,7,8
0,4935,1911,1908,1907,1904,1902,1900,1917,1.25,0,1,0,0,0,19
0,5265,975,985,999,1010,1024,1035,1055,10.25,13,17,14,14,13,22
0,6090,897,895,894,892,891,891,890,0.25,0,0,0,0,1,0
0,6255,2119,2125,2138,2174,2318,2382,2488,3,11,17,41,151,68,110
0,6530,84,84,84,84,84,84,84,0,0,0,0,0,0,0
0,7025,70,70,70,70,70,70,70,0,0,0,0,0,0,0
0,7190,167,168,169,170,169,169,169,0.54,1.53,1.41,1.41,0,0,0
0,7410,726,728,733,734,736,737,742,0.38,2.75,5.87,1.27,2,2,6
0,7571,42,42,42,42,42,42,42,0.14,0.57,0.42,0.52,0.49,0.52,0.47
0,7795,182,182,182,182,182,182,182,0.25,0.61,0.31,0.7,0.41,0.41,0.74
0,7850,43630,43997,44041,44440,45298,45832,46008,29.75,453,115,415,878,608,243
0,8070,302,302,302,303,306,310,316,0.5,0,1,2,3,5,7
0,8345,45,45,45,45,45,45,45,0.05,0.25,0.23,0.44,0.46,0.04,0.04
0,8400,6945,6963,7011,7044,7091,7149,7161,3.62,26.25,56.13,41,55,66,19
0,8675,11500,11526,11550,11591,11761,11839,12028,9.25,50,45,64,203,98,209
0,9115,100,101,102,103,104,105,106,0.25,1,1,1,1,1,1
0,9280,22668,22861,23057,25034,25886,26669,27087,40,232,229,2010,896,820,447
0,9555,2299,2294,2289,2284,2279,2274,2269,0,0,0,0,0,0,0
0,10105,1361,1371,1377,1396,1418,1433,1447,3.09,13.7,9.36,22,23,18,16.41
0,10600,1477,1475,1472,1468,1465,1462,1459,0.25,2,0,0,0,0,0
0,11260,348,348,347,346,345,344,344,0,1,0,0,0,0,1
0,11645,75,75,75,75,75,75,75,,,,,,,
0,11810,7295,7284,7274,7259,7249,7244,7233,3,9,8,4,7,11,4
0,12045,2467,2466,2463,2472,2482,2499,2519,0.25,3,1,8,14,20,23
0,12387,3637,3642,3653,3658,3658,3658,3658,0,7,13,7,1,1,1
0,12415,17696,18047,18348,18865,19679,20476,21385,65.25,376,321,540,828,821,933
0,12635,1180,1177,1174,1177,1175,1177,1176,0.5,1,0,2,1,5,1
0,12815,39290,39286,39263,39597,39593,39647,39648,3.25,34,14,340,33,92,38
0,12855,925,922,920,917,915,913,911,0,0,0,0,0,0,0
0,12910,489,488,491,490,497,500,499,2,0,4,0,8,4,0
0,13460,115,115,115,115,115,115,115,0.03,0.09,0.13,0.18,0.18,0.04,0.18
0,13845,2153,2158,2162,2164,2179,2181,2194,2.5,8,7,14,17,10,16
0,14175,429,428,427,427,426,426,426,0,1,0,1,0,1,1
0,14765,270,269,268,271,272,274,276,0.25,0,0,4,2,3,3
0,15330,160,159,159,158,158,158,158,0,0,0,0,0,0,0
0,15550,94,94,94,95,96,96,96,0.1,0.53,0.48,0.93,0.95,0.08,0.08
0,15605,220,221,222,221,220,219,220,0.32,1.43,1.26,0,0,0,1.71
0,16000,179823,181334,183111,186236,190392,192230,194513,237.14,1826,2070,3514,4216,2106,2547.21
0,16385,530,530,530,530,529,533,550,0.25,1,1,1,0,5,18
0,16495,15479,15679,15763,15938,16313,16658,16972,33,240,116,192,384,354,345
0,17375,3887,3886,3882,3878,3870,3867,3875,3,11,6,7,1,6,16
0,17760,4081,4072,4065,4056,4047,4040,4033,1.5,2,3,2,0,1,0
0,17925,211,210,209,208,207,206,205,0,0,0,0,0,0,0
0,18310,1069,1074,1082,1092,1099,1104,1114,0.5,7,10,12,9,7,12
0,18420,108,109,109,110,116,117,118,1.25,1,0,1,6,1,1
0,18530,723,722,721,719,717,715,716,0.5,1,1,0,0,0,3
0,18640,76,76,76,76,76,76,76,0,0,0,0,0,0,0
0,18750,88,88,88,88,88,88,88,0,0,0,0,0,0,0
0,19080,1559,1571,1570,1577,1610,1688,1785,4.75,20,5,6,39,84,102
