"CountyFIPS","PlaceFIPS","Tp10","Gqp10","Hp10","Pph10","Thu10","Ohu10","Vhu10","Vr10","Tp11","Gqp11","Hp11","Pph11","Thu11","Ohu11","Vhu11","Vr11","Tp12","Gqp12","Hp12","Pph12","Thu12","Ohu12","Vhu12","Vr12","Tp13","Gqp13","Hp13","Pph13","Thu13","Ohu13","Vhu13","Vr13","Tp14","Gqp14","Hp14","Pph14","Thu14","Ohu14","Vhu14","Vr14","Tp15","Gqp15","Hp15","Pph15","Thu15","Ohu15","Vhu15","Vr15","Tp16","Gqp16","Hp16","Pph16","Thu16","Ohu16","Vhu16","Vr16","Tp17","Gqp17","Hp17","Pph17","Thu17","Ohu17","Vhu17","Vr17","Tp18","Gqp18","Hp18","Pph18","Thu18","Ohu18","Vhu18","Vr18","Tp19","Gqp19","Hp19","Pph19","Thu19","Ohu19","Vhu19","Vr19"
"011","43660",2413,78,2335,2.32,1214,1005,209,17.21,2357,78,2279,2.32,1214,981,233,19.19,2301,78,2223,2.32,1214,957,257,21.16,2244,78,2166,2.32,1214,933,281,23.14,2176,78,2098,2.32,1214,903,311,25.61,2210,78,2132,2.32,1214,918,296,24.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"011","99990",4093,2130,1963,2.36,1029,830,199,19.33,3952,2036,1916,2.36,1029,810,219,21.28,3481,1608,1873,2.36,1031,792,239,23.18,3469,1637,1832,2.36,1035,774,261,25.21,3565,1791,1774,2.36,1035,750,285,27.53,3631,1829,1802,2.36,1035,762,273,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111","00000",709,0,709,2.03,757,349,408,53.89,695,0,695,2.03,758,342,416,54.88,694,0,694,2.02,759,342,417,54.94,702,0,702,2.03,765,345,420,54.90,721,0,721,2.03,765,355,410,53.59,705,0,705,2.03,765,347,418,54.64,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"111","70580",646,0,646,1.99,501,324,177,35.32,633,0,633,1.99,502,317,185,36.85,633,0,633,1.99,502,317,185,36.85,639,0,639,1.99,505,320,185,36.63,657,0,657,1.99,505,329,176,34.85,642,0,642,1.99,505,322,183,36.23,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"111","99990",63,0,63,2.52,256,25,231,90.23,62,0,62,2.48,256,25,231,90.23,61,0,61,2.44,257,25,232,90.27,63,0,63,2.52,260,25,235,90.38,64,0,64,2.46,260,26,234,90.00,63,0,63,2.52,260,25,235,90.38,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"113","00000",7356,9,7347,2.12,6659,3451,3208,48.17,7475,9,7466,2.12,6704,3506,3198,47.70,7578,9,7569,2.12,6732,3554,3178,47.20,7645,9,7636,2.13,6757,3584,3173,46.95,7770,9,7761,2.13,6780,3642,3138,46.28,7859,9,7850,2.13,6814,3683,3131,45.94,,9,,,,,,,,9,,,,,,,,9,,,,,,,,9,,,,,,
"113","68655",40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"113","76795",2319,0,2319,2.14,2076,1083,993,47.83,2360,0,2360,2.14,2094,1102,992,47.37,2385,0,2385,2.14,2098,1114,984,46.90,2405,0,2405,2.14,2106,1123,983,46.67,2440,0,2440,2.14,2111,1140,971,45.99,2480,0,2480,2.14,2132,1158,974,45.68,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"113","52550",1313,0,1313,1.75,2066,747,1319,63.84,1328,0,1328,1.75,2072,756,1316,63.51,1342,0,1342,1.75,2075,764,1311,63.18,1351,0,1351,1.75,2079,769,1310,63.01,1369,0,1369,1.75,2082,779,1303,62.58,1379,0,1379,1.75,2085,785,1300,62.35,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"113","54880",517,0,517,2.40,250,215,35,14.00,526,0,526,2.41,252,218,34,13.49,534,0,534,2.40,254,222,32,12.59,539,0,539,2.40,255,224,31,12.15,549,0,549,2.40,256,228,28,10.93,554,0,554,2.40,257,230,27,10.50,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
